,Mobile_names,Price,Ratings
143,"REDMI 10 (Pacific Blue, 128 GB)","₹12,380",4.2
144,"OPPO A78 (Mist Black, 128 GB)","₹17,499",4.3
145,"vivo Y36 (Meteor Black, 128 GB)","₹15,999",4.2
146,"realme 11x 5G (Midnight Black, 128 GB)","₹15,999",4.3
147,"realme 11 5G (Glory Black, 128 GB)","₹18,999",4.3
148,"OPPO A57 (Glowing Black, 64 GB)","₹12,789",4.4
149,"Mi 11 Lite (Vinyl Black, 128 GB)","₹23,999",4.2
150,"REDMI Note 10S (Cosmic Purple, 128 GB)","₹17,990",4.2
151,"SAMSUNG Galaxy M33 5G (Emarld Brown, 128 GB)","₹17,200",4.2
152,"IQOO Z7s 5G (Pacific Night, 128 GB)","₹18,990",4.3
153,"Infinix Note 12 Pro (Volcanic Grey, 256 GB)","₹16,999",4.2
154,"SAMSUNG Galaxy M33 5G (Emerald Brown, 128 GB)","₹17,875",4.2
155,"SAMSUNG Galaxy A14 5G (Light Green, 64 GB)","₹15,999",4.1
156,"IQOO Z7s 5G (Norway Blue, 128 GB)","₹18,528",4.3
157,"vivo Y33s (Midday Dream, 128 GB)","₹18,990",4.3
158,"POCO M2 Pro (Green and Greener, 64 GB)","₹17,999",4.4
159,"REDMI Note 11 (Horizon Blue, 64 GB)","₹11,950",4.2
160,"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹15,999",4.1
161,"REDMI Note 11S (Space Black, 128 GB)","₹15,990",4.1
162,"vivo Y33s (Mirror Black, 128 GB)","₹15,863",4.3
163,"OPPO A96 (Sunset Blue, 128 GB)","₹17,899",4.3
164,"REDMI 12C (Lavender Purple, 6 GB)","₹9,989",3.6
165,"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)","₹18,590",4.3
166,"SAMSUNG GALAXY M13 5G (Midnight Blue, 128 GB)","₹14,197",4.2
167,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹19,999",4.4
168,"vivo Y22 (Metaverse Green, 128 GB)","₹18,999",4.3
169,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹19,999",4.4
170,"realme 9 5G SE (Azure Glow, 128 GB)","₹17,999",4.3
171,"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹14,999",4.2
172,"OPPO A96 (Sunset Blue, 128 GB)","₹17,899",4.3
173,"vivo Y33s (Midday Dream, 128 GB)","₹15,249",4.3
174,"REDMI 11 Prime 5G (Thunder Black, 64 GB)","₹13,778",4.1
175,"REDMI 11 Prime 5G (Meadow Green, 64 GB)","₹13,839",4.1
176,"POCO X4 Pro 5G (Yellow, 128 GB)","₹19,999",4.2
177,"Tecno Camon 20 (Art Edition, 256 GB)","₹15,884",4.2
178,"vivo Y21A (Diamond Glow, 64 GB)","₹12,675",4.3
179,"SAMSUNG Galaxy M31 (Ocean Blue, 64 GB)","₹15,990",4.3
180,"REDMI Note 10S (Shadow Black, 128 GB)","₹16,620",4.2
181,"SAMSUNG GALAXY M13 5G (Aqua Green, 64 GB)","₹12,999",4.2
182,"POCO M3 Pro 5G (Power Black, 64 GB)","₹13,370",4.3
183,"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹15,900",4.2
184,"Infinix Note 12 5G (Snowfall, 64 GB)","₹15,999",4.2
185,"Infinix Note 12 5G (Force Black, 64 GB)","₹15,999",4.2
186,"REDMI Note 10 Lite (Glacier White, 128 GB)","₹13,276",4.3
187,"POCO M3 Pro 5G (Cool Blue, 64 GB)","₹13,362",4.3
188,"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)","₹19,999",4.1
189,"REDMI Note 11S (Space Black, 64 GB)","₹13,899",4.1
190,"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹18,999",4.2
191,"REDMI NOTE 10 LITE (Aurora Blue, 128 GB)","₹13,885",4.3
192,"SAMSUNG Galaxy A14 (Light Green, 128 GB)","₹14,999",3.8
193,"POCO M4 Pro (Cool Blue, 128 GB)","₹16,499",4.3
194,"vivo Y22 (Starlit Blue, 128 GB)","₹18,999",4.3
195,"vivo Y33s (Mirror Black, 128 GB)","₹15,863",4.3
196,"SAMSUNG Galaxy M13 (Aqua Green, 128 GB)","₹13,690",4.2
197,"SAMSUNG Galaxy A14 (Silver, 128 GB)","₹14,999",3.8
198,"OPPO A57 (glowing green, 64 GB)","₹13,672",4.4
199,"SAMSUNG Galaxy A23 (Peach, 128 GB)","₹17,954",4.3
200,"SAMSUNG Galaxy A14 (Silver, 64 GB)","₹13,999",3.8
201,"POCO M2 Pro (Green and Greener, 64 GB)","₹17,999",4.4
202,"REDMI Note 10 Pro Max (Dark Night, 128 GB)","₹19,999",4.3
203,"SAMSUNG Galaxy A14 (Black, 128 GB)","₹14,999",3.8
204,"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹19,990",4.2
205,"REDMI NOTE 10 LITE (Champagne Gold, 128 GB)","₹13,480",4.3
206,"REDMI 11 Prime 5G (Meadow Green, 128 GB)","₹14,819",4.2
207,"REDMI 11 Prime 5G (Thunder Black, 128 GB)","₹14,975",4.2
208,"REDMI Note 11T 5G (Matte black, 128 GB)","₹18,962",4.2
209,"vivo T1X (DIAMOND GLOW, 128 GB)","₹16,999",4.5
210,"REDMI Note 11T 5G (Matte black, 128 GB)","₹18,870",4.2
211,"Infinix Note 11s Free Fire Edition (Mithril Grey, 128 GB)","₹15,999",4.3
212,"IQOO Z6 Lite 5G (Without Charger) (Mystic Night, 128 GB)","₹14,990",4.2
213,"vivo T1X (Space Blue, 128 GB)","₹14,999",4.4
214,"REDMI 11 Prime 5G (Chrome Silver, 128 GB)","₹14,985",4.2
215,"IQOO Z6 44W (Lumina Blue, 128 GB)","₹16,895",4.3
216,"vivo T1X (Space Blue, 128 GB)","₹12,999",4.5
217,"vivo T1X (Space Blue, 128 GB)","₹14,999",4.4
218,"REDMI Note 11s (Space Black, 128 GB)","₹16,980",4.2
219,"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹17,899",4.2
220,"POCO X4 Pro 5G (Laser Blue, 128 GB)","₹19,999",4.2
221,"realme Narzo 30 (Racing Silver, 128 GB)","₹15,790",4.3
222,"SAMSUNG Galaxy A04s (Copper, 128 GB)","₹13,999",4.3
223,"REDMI Note 11S (Polar White, 128 GB)","₹18,980",4.2
224,"POCO X4 Pro 5G (Yellow, 64 GB)","₹18,999",4.2
225,"SAMSUNG Galaxy A04s (Copper, 64 GB)","₹12,499",4.3
226,"SAMSUNG Galaxy A14 (Light Green, 128 GB)","₹14,999",3.8
227,"REDMI Note 11T 5G (Stardust White, 128 GB)","₹17,965",4.2
228,"OnePlus N20 SE (CELESTIAL BLACK, 64 GB)","₹15,990",4.8
229,"realme XT (Pearl White, 64 GB)","₹16,399",4.5
230,"SAMSUNG Galaxy A14 (Silver, 64 GB)","₹13,999",3.8
231,"REDMI Note 11T 5G (Stardust White, 128 GB)","₹17,962",4.2
232,"POCO M3 Pro 5G (Cool Blue, 128 GB)","₹17,999",4.2
233,"REDMI Note 10T 5G (Metallic Blue, 64 GB)","₹14,989",4.3
234,"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹14,999",4.2
235,"REDMI Note 11 (Starburst White, 128 GB)","₹15,490",4.2
236,"Tecno Camon20 Predawn 64MP Rear Camera (Predawn Black, 256 GB)","₹14,998",4.2
237,"vivo T1X (Gravity Black, 128 GB)","₹15,990",4.4
238,"Infinix Note 11s Free Fire Edition (Mithril Grey, 128 GB)","₹15,999",4.3
239,"SAMSUNG Galaxy A14 (Black, 128 GB)","₹14,999",3.8
